volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
8.644799e6,75.5794,75.87,76.11,76.36,74.81,2020-04-30,60796
6.059274e6,73.5357,74.08,73.54,74.37,72.76,2020-05-01,48262
7.327935e6,72.4348,72.66,73.18,73.24,71.565,2020-05-04,58750
7.570162e6,73.9747,73.9,73.54,74.66,73.43,2020-05-05,44188
6.301449e6,72.9616,73.79,72.22,74.15,72.2,2020-05-06,49161
6.802006e6,73.4378,72.9,73.25,74.3,72.85,2020-05-07,52196
6.653587e6,74.767,74.22,74.99,75.24,74.07,2020-05-08,47667
6.941256e6,74.234,74.13,73.9,75.08,73.5006,2020-05-11,51216
1.1800923e7,71.4332,74.22,70.54,74.22,70.48,2020-05-12,76827
8.406716e6,69.2562,70.03,68.83,70.36,68.5082,2020-05-13,68320
8.65237e6,67.8425,67.87,69.07,69.07,66.27,2020-05-14,70588
1.1964475e7,68.266,68.63,68.8,68.84,67.58,2020-05-15,87786
8.6784e6,72.6361,71.01,72.87,73.43,71.01,2020-05-18,69273
5.848552e6,72.384,72.59,71.89,72.95,71.89,2020-05-19,48270
5.167827e6,72.3975,72.79,72.53,72.84,72.005,2020-05-20,40375
5.449677e6,72.563,72.21,72.59,73.09,71.9,2020-05-21,41898
4.774345e6,73.0794,72.59,73.57,73.63,72.28,2020-05-22,37968
6.115153e6,76.1362,75.76,76.32,76.72,75.55,2020-05-26,51399
5.919704e6,77.0917,78.0,77.84,78.27,75.9701,2020-05-27,50854
5.679747e6,78.0132,78.69,78.21,78.82,77.575,2020-05-28,47589
9.022384e6,77.4073,77.58,77.43,78.14,76.89,2020-05-29,72685
1.1281709e7,78.8846,77.36,79.22,79.79,77.27,2020-06-01,67530
7.200138e6,79.7495,79.81,79.86,80.1,79.03,2020-06-02,50733
7.510156e6,82.2836,80.69,82.42,82.7682,80.67,2020-06-03,54220
5.561515e6,81.4717,82.02,81.6,82.12,80.86,2020-06-04,47797
6.203408e6,84.978,84.49,84.69,86.07,84.3,2020-06-05,55503
7.210971e6,86.4031,85.82,86.79,86.8,85.67,2020-06-08,59560
7.22728e6,85.3431,85.21,85.35,85.9,84.3,2020-06-09,57012
6.478631e6,83.5778,85.1101,83.18,85.1101,82.53,2020-06-10,54070
8.666684e6,78.6879,79.57,77.84,80.63,77.73,2020-06-11,73875
8.899409e6,79.6549,80.55,80.63,80.92,78.435,2020-06-12,87939
6.192528e6,80.6588,78.15,81.77,82.1943,77.98,2020-06-15,58176
5.860543e6,83.5308,84.61,83.38,84.84,82.02,2020-06-16,55537
5.063173e6,82.6917,83.87,82.17,83.95,82.16,2020-06-17,47936
5.035597e6,81.303,81.19,81.27,81.72,80.82,2020-06-18,43496
1.0444893e7,80.5002,82.45,80.09,82.45,79.68,2020-06-19,78845
4.03922e6,79.653,79.94,80.01,80.23,78.68,2020-06-22,40093
4.002745e6,79.8859,80.8,79.68,80.93,79.445,2020-06-23,38298
7.073059e6,77.1237,78.68,77.41,78.88,75.655,2020-06-24,63445
6.675958e6,76.6493,76.17,77.63,77.71,76.03,2020-06-25,53691
7.304539e6,76.7591,77.36,76.14,77.65,76.05,2020-06-26,87373
4.726263e6,77.1732,76.88,77.61,77.67,75.84,2020-06-29,41649
5.337779e6,78.2015,77.87,78.53,78.91,77.38,2020-06-30,40882
5.054701e6,79.9513,78.8,80.34,80.66,78.6,2020-07-01,65840
4.624693e6,80.4636,81.67,80.11,81.9,79.75,2020-07-02,42217
6.230585e6,80.3282,81.6,80.07,81.72,79.945,2020-07-06,44020
3.429034e6,78.9631,79.1251,78.48,79.49,78.38,2020-07-07,36124
3.88031e6,78.2315,78.59,78.37,78.88,77.66,2020-07-08,32478
3.492706e6,77.515,78.23,77.88,78.3,76.65,2020-07-09,56184
3.837623e6,77.9156,77.72,78.12,78.51,77.56,2020-07-10,36367
6.120589e6,77.9226,78.4,77.19,78.85,77.0,2020-07-13,41413
3.502957e6,77.4574,77.16,77.84,78.07,76.94,2020-07-14,33606
3.58364e6,78.5481,79.15,78.6,79.39,78.045,2020-07-15,34875
3.636911e6,77.7164,78.17,77.66,78.45,77.359,2020-07-16,38348
3.759179e6,78.3193,77.92,78.67,79.0,77.47,2020-07-17,33540
4.404236e6,77.8442,78.6,77.73,79.0,77.46,2020-07-20,27380
3.046705e6,78.2427,78.38,77.92,78.74,77.71,2020-07-21,30152
2.724761e6,78.746,77.56,79.11,79.19,77.36,2020-07-22,25679
4.657416e6,78.7006,78.95,78.78,79.41,77.81,2020-07-23,37048
2.723325e6,78.3324,78.59,78.2,79.0,78.07,2020-07-24,27422
4.153686e6,78.3085,78.16,78.94,79.03,77.2307,2020-07-27,38689
6.644547e6,80.0806,78.91,80.51,80.8992,78.74,2020-07-28,59880
5.462843e6,81.3578,80.96,82.07,82.07,80.82,2020-07-29,51427
6.63264e6,81.2308,81.0,81.54,81.61,80.47,2020-07-30,60848
9.349628e6,80.6934,81.45,81.39,81.5,80.12,2020-07-31,69743
5.675163e6,80.2388,81.42,80.31,81.42,79.88,2020-08-03,48738
4.119226e6,81.2848,80.17,81.51,81.71,80.1339,2020-08-04,36121
3.417621e6,81.0933,81.8,81.1,82.12,80.7,2020-08-05,29895
3.698315e6,81.201,80.79,81.23,81.455,80.71,2020-08-06,29590
4.478475e6,82.0718,80.93,82.39,82.43,80.8,2020-08-07,42575
3.447624e6,82.5903,82.64,82.52,83.02,82.16,2020-08-10,33569
5.229453e6,81.9757,83.33,81.33,83.47,81.02,2020-08-11,39406
2.267506e6,82.0091,81.96,82.15,82.28,81.64,2020-08-12,20667
3.614011e6,81.5048,81.88,81.14,82.57,80.93,2020-08-13,31376
3.417795e6,81.4003,80.93,81.15,81.91,80.84,2020-08-14,26667
2.792969e6,81.4962,81.2,81.81,81.85,80.83,2020-08-17,23843
3.666837e6,81.3432,81.81,81.42,81.91,80.92,2020-08-18,31020
4.399532e6,80.2386,81.61,79.99,81.665,79.84,2020-08-19,39201
2.975156e6,80.7604,79.6,80.75,81.27,79.38,2020-08-20,24767
3.413048e6,80.5854,80.74,80.88,81.23,79.89,2020-08-21,24723
2.589467e6,80.6766,81.0,81.4,81.43,79.92,2020-08-24,25219
3.154145e6,81.296,81.61,81.61,81.8,80.83,2020-08-25,28569
3.158584e6,80.7494,81.43,80.86,81.43,80.37,2020-08-26,31537
4.056217e6,81.9164,81.03,82.05,82.305,81.01,2020-08-27,38364
4.641303e6,81.9317,82.18,82.59,82.59,81.34,2020-08-28,34095
4.894007e6,81.8452,82.48,81.75,82.5,81.439,2020-08-31,45852
3.555675e6,81.6457,81.47,81.81,81.88,80.88,2020-09-01,35271
3.174229e6,82.6187,81.9,83.33,83.46,81.24,2020-09-02,33711
5.746772e6,82.4865,83.31,82.33,84.04,81.7,2020-09-03,54591
4.992034e6,81.7449,82.57,81.9,83.1,80.53,2020-09-04,52782
3.799223e6,81.0083,81.54,80.9,81.59,80.32,2020-09-08,43197
3.198019e6,81.8545,81.32,81.7,82.74,81.24,2020-09-09,37466
4.335529e6,81.0969,81.79,80.7,81.9,80.62,2020-09-10,40059
4.274795e6,80.232,80.89,80.25,80.98,79.51,2020-09-11,46427
3.76363e6,82.0475,80.78,82.21,82.4582,80.68,2020-09-14,36706
3.042054e6,83.446,82.56,83.2,83.98,82.5,2020-09-15,32400
3.749104e6,84.0238,83.7,83.64,84.49,83.29,2020-09-16,33725
6.020287e6,82.0796,82.78,82.01,83.35,81.48,2020-09-17,38144
5.051353e6,80.5586,81.98,80.16,81.98,80.02,2020-09-18,44090
5.358749e6,78.0222,79.16,77.75,79.171,77.32,2020-09-21,53096
4.544152e6,78.7885,77.99,78.68,79.32,77.83,2020-09-22,40977
7.907822e6,77.095,78.73,76.31,78.73,76.21,2020-09-23,58856
6.838813e6,76.8921,76.32,76.72,77.81,75.95,2020-09-24,50572
3.525609e6,76.9109,75.96,77.7,77.755,75.72,2020-09-25,75910
3.496133e6,79.1853,78.79,79.29,79.67,78.7,2020-09-28,33815
3.686566e6,78.6608,79.28,78.72,79.33,78.08,2020-09-29,28404
4.575216e6,79.0379,79.12,78.96,79.88,78.15,2020-09-30,38001
6.439346e6,79.8544,79.28,80.54,80.615,78.93,2020-10-01,70347
3.362606e6,81.1177,79.46,81.93,82.19,79.17,2020-10-02,37589
2.692132e6,81.793,82.23,82.4,82.66,80.83,2020-10-05,28415
5.860462e6,82.156,82.61,81.86,83.0738,81.54,2020-10-06,40469
2.393974e6,82.1038,82.37,81.98,82.4,81.6,2020-10-07,22869
2.285589e6,83.0604,82.42,83.35,83.58,82.28,2020-10-08,24105
6.598357e6,83.1445,83.86,83.02,83.875,82.73,2020-10-09,54665
5.686139e6,83.3298,83.12,83.41,83.64,82.55,2020-10-12,26906
4.434665e6,82.0761,83.07,81.98,83.12,81.5,2020-10-13,39292
4.696528e6,81.2623,81.9,80.98,82.1,80.86,2020-10-14,43851
2.938187e6,81.4029,80.35,81.4,82.06,80.33,2020-10-15,29794
2.957774e6,81.0805,81.41,80.82,81.43,80.67,2020-10-16,31811
9.904146e6,79.7869,81.03,79.56,81.2,79.44,2020-10-19,36639
4.06316e6,80.2659,80.09,80.13,80.74,79.93,2020-10-20,31283
2.71181e6,79.9241,79.91,79.89,80.27,79.51,2020-10-21,29694
3.845629e6,79.909,79.88,79.88,80.22,79.53,2020-10-22,34248
2.606667e6,80.1626,80.18,80.36,80.67,79.69,2020-10-23,23922
2.723021e6,79.0118,79.74,79.21,79.86,78.51,2020-10-26,29765
2.307792e6,78.7223,79.3,77.94,79.73,77.94,2020-10-27,22582
4.466352e6,76.3798,76.68,76.08,77.43,75.79,2020-10-28,47302
4.670732e6,76.9182,76.2,77.1,77.68,75.46,2020-10-29,43102
4.017032e6,76.2189,76.66,76.59,77.22,75.675,2020-10-30,41409
4.290112e6,77.8664,77.4,78.42,78.46,76.88,2020-11-02,42413
4.238251e6,79.672,79.2,79.93,80.4,78.92,2020-11-03,44015
2.897362e6,80.5407,80.5,80.07,81.29,79.44,2020-11-04,34236
4.017181e6,80.6432,80.69,80.45,81.2125,80.12,2020-11-05,38391
3.725491e6,80.2625,80.69,79.9,81.11,79.6,2020-11-06,37580
9.080417e6,84.6338,84.53,82.73,88.29,82.56,2020-11-09,88984
6.170302e6,83.5781,82.85,83.94,84.02,82.39,2020-11-10,49722
3.441467e6,84.1351,84.28,84.26,84.65,83.44,2020-11-11,27697
3.985118e6,83.2788,83.88,83.16,84.225,82.59,2020-11-12,32567
3.475681e6,84.8042,83.66,85.38,85.57,83.66,2020-11-13,29205
3.029027e6,86.0695,87.17,86.34,87.4364,85.32,2020-11-16,30443
3.881581e6,86.1704,85.7,86.42,86.755,85.11,2020-11-17,37754
